FullName;Price;Name;ProductionDate;Klm;CubicCapacity;Horsepower;GasType;GearBox;Age
Mercedes-Benz B 180 '13;15400.0;Mercedes-Benz;2013-01-01;232000.0;1800.0;110.0;Πετρέλαιο;Αυτόματο;11
Volvo XC 60 '20 T8 R DESING;57000.0;Volvo;2020-02-01;33800.0;2000.0;400.0;Υβριδικό plug-in βενζίνη;Αυτόματο;4
Nissan Qashqai '19  1.5 dCi ΕΓΓΥΗΣΗ;19400.0;Nissan;2019-10-01;133400.0;1461.0;115.0;Πετρέλαιο;Manual;5
Fiat 500X '19;18200.0;Fiat;2019-07-01;80000.0;1598.0;120.0;Πετρέλαιο;Αυτόματο;5
Peugeot 308 '15 1.2 e-THP STYLE ΑΥΤΟΜΑΤΟ;11500.0;Peugeot;2015-10-01;110837.0;1199.0;130.0;Βενζίνη;Αυτόματο;9
Bmw X5 '04;10500.0;Bmw;2004-09-01;93000.0;4398.0;300.0;Βενζίνη;Αυτόματο;20
Fiat 500X '19;18200.0;Fiat;2019-07-01;80000.0;1598.0;120.0;Πετρέλαιο;Αυτόματο;5
Peugeot 308 '15 1.2 e-THP STYLE ΑΥΤΟΜΑΤΟ;11500.0;Peugeot;2015-10-01;110837.0;1199.0;130.0;Βενζίνη;Αυτόματο;9
Opel Crossland X '18 ΙΔΙΩΤΗΣ;15200.0;Opel;2018-05-01;89000.0;1560.0;120.0;Πετρέλαιο;Manual;6
Mercedes-Benz C 180 '22 AMG  9G-TRONIC;51000.0;Mercedes-Benz;2022-04-01;15000.0;1500.0;170.0;Υβριδικό βενζίνη;Αυτόματο;2
Audi A5 '10 Sportback s tronic;17400.0;Audi;2010-06-01;185600.0;2000.0;211.0;Βενζίνη;Αυτόματο;14
Volkswagen Golf '14  1.4 TSI BMT Highline DSG (7-Gear);13300.0;Volkswagen;2014-02-01;141000.0;1395.0;140.0;Βενζίνη;Αυτόματο;10
Renault Clio '18 1.5 dCi Business Réversible;11000.0;Renault;2018-04-01;119371.0;1461.0;75.0;Πετρέλαιο;Manual;6
Renault Clio '19 dynamic;14600.0;Renault;2019-07-01;53000.0;1000.0;75.0;Βενζίνη;Manual;5
Audi Q3 '19  35 TFSI S line S tronic;46990.0;Audi;2019-09-01;23700.0;1500.0;150.0;Υβριδικό βενζίνη;Αυτόματο;5
Mercedes-Benz GLA 180 '17 AMG look;22900.0;Mercedes-Benz;2017-03-01;129000.0;1595.0;116.0;Βενζίνη;Manual;7
Opel Insignia '10  Sports Tourer 1.8 Cosmo ΠΑΝΟΡΑΜΑ;8900.0;Opel;2010-01-01;178000.0;1800.0;140.0;Βενζίνη;Manual;14
Opel Corsa '20 1.2 euro6;14200.0;Opel;2020-05-01;65000.0;1200.0;75.0;Βενζίνη;Manual;4
Volvo XC 60 '19 Inscription 190Hp;46600.0;Volvo;2019-01-01;78000.0;2000.0;195.0;Πετρέλαιο;Αυτόματο;5
Renault Scenic '19 1.7 DCI Bose Edition ΑΥΤΟΜΑΤΟ;19500.0;Renault;2019-07-01;110440.0;1749.0;120.0;Πετρέλαιο;Αυτόματο;5
Ford B-Max '17  1.5 TDCi Trend;11500.0;Ford;2017-06-01;89798.0;1499.0;95.0;Πετρέλαιο;Manual;7
Hyundai i 20 '17;10700.0;Hyundai;2017-03-01;76825.0;1248.0;75.0;Βενζίνη;Manual;7
Peugeot 208 '16 1.6 Blue-HDi Like;9500.0;Peugeot;2016-08-01;132779.0;1560.0;75.0;Πετρέλαιο;Manual;8
Renault Kadjar '16 1.6 dCi Energy Black 4x4;22900.0;Renault;2016-07-01;111053.0;1598.0;130.0;Πετρέλαιο;Manual;8
Seat Leon '08;4500.0;Seat;2008-01-01;235638.0;1800.0;160.0;Βενζίνη;Manual;16
Opel Corsa '16 E 1.0 Edition Ecoflex;9800.0;Opel;2016-09-01;151901.0;999.0;90.0;Βενζίνη;Manual;8
Renault Megane '17 1.5 GrandTour dCi BOSE;17500.0;Renault;2017-08-01;127423.0;1461.0;110.0;Πετρέλαιο;Manual;7
Toyota Auris '14;10200.0;Toyota;2014-11-01;218000.0;1400.0;90.0;Πετρέλαιο;Manual;10
Toyota Auris '14 1.4 D-4D;12000.0;Toyota;2014-01-01;105000.0;1399.0;90.0;Πετρέλαιο;Manual;10
Nissan X-Trail '16  1.6 dCi Connect XTronic;19000.0;Nissan;2016-02-01;138600.0;1598.0;130.0;Πετρέλαιο;Αυτόματο;8
Fiat Panda '18  1.2 Pop;9500.0;Fiat;2018-06-01;53007.0;1242.0;70.0;Βενζίνη;Manual;6
Fiat Panda '15 0.9 Easy;8500.0;Fiat;2015-08-01;107536.0;875.0;85.0;Βενζίνη;Manual;9
Ford Focus '06 St line Titanium black;5900.0;Ford;2006-02-01;119500.0;1600.0;115.0;Βενζίνη;Αυτόματο;18
Mercedes-Benz C 180 '96 esprit;3000.0;Mercedes-Benz;1996-01-01;220000.0;1800.0;125.0;Βενζίνη;Manual;28
Nissan Pulsar '15 ΤΕCNA!!AUTO!!100Ο00ΧΛΜ!ΤΕΛΕΙΟ!;12600.0;Nissan;2015-02-01;100000.0;1197.0;115.0;Βενζίνη;Αυτόματο;9
Renault Kadjar '16 dCi 110 EXPERIENCE;17600.0;Renault;2016-01-01;148000.0;1500.0;110.0;Πετρέλαιο;Αυτόματο;8
Citroen C3 '06;4200.0;Citroen;2006-01-01;166525.0;1400.0;75.0;Βενζίνη;Manual;18
Bmw 318 '86;13000.0;Bmw;1986-01-01;111111.0;4400.0;285.0;Βενζίνη;Manual;38
Opel Astra '00 Caravan;3500.0;Opel;2000-01-01;306000.0;1600.0;105.0;Φυσικό αέριο(cng) - βενζίνη;Manual;24
Fiat 131 '78 Mirafiori;2600.0;Fiat;1978-01-01;84546.0;1600.0;1.0;Βενζίνη;Αυτόματο;46
Opel Astra '00;1100.0;Opel;2000-01-01;120000.0;1400.0;90.0;Βενζίνη;Manual;24
Mercedes-Benz SLK 230 '12 Look amg;29999.0;Mercedes-Benz;2012-01-01;86000.0;1800.0;230.0;Βενζίνη;Αυτόματο;12
Fiat Panda '14 Euro 6 ΜΗΔΕΝΙΚΑ ΤΕΛΗ;7450.0;Fiat;2014-10-01;96000.0;900.0;65.0;Βενζίνη;Manual;10
